CodigoNacional;momento,Ts_Valor
400009;01-01-2023 00:00:00;16.5
400009;01-01-2023 01:00:00;13.4
400009;01-01-2023 02:00:00;14.1
400009;01-01-2023 03:00:00;14.6
400009;01-01-2023 04:00:00;13.4
400009;01-01-2023 05:00:00;13.3
400009;01-01-2023 06:00:00;13.1
400009;01-01-2023 07:00:00;13.1
400009;01-01-2023 08:00:00;12.1
400009;01-01-2023 09:00:00;11.3
400009;01-01-2023 10:00:00;11.1
400009;01-01-2023 11:00:00;11.9
400009;01-01-2023 12:00:00;12.9
400009;01-01-2023 13:00:00;14.7
400009;01-01-2023 14:00:00;16.2
400009;01-01-2023 15:00:00;16.9
400009;01-01-2023 16:00:00;18.4
400009;01-01-2023 17:00:00;18.9
400009;01-01-2023 18:00:00;20.3
400009;01-01-2023 19:00:00;20.5
400009;01-01-2023 20:00:00;20.3
400009;01-01-2023 21:00:00;20.0
400009;01-01-2023 22:00:00;19.4
400009;01-01-2023 23:00:00;18.7
400009;02-01-2023 00:00:00;17.5
400009;02-01-2023 01:00:00;14.8
400009;02-01-2023 02:00:00;13.4
400009;02-01-2023 03:00:00;12.5
400009;02-01-2023 04:00:00;12.3
400009;02-01-2023 05:00:00;11.8
400009;02-01-2023 06:00:00;11.3
400009;02-01-2023 07:00:00;8.7
400009;02-01-2023 08:00:00;7.0
400009;02-01-2023 09:00:00;6.7
400009;02-01-2023 10:00:00;8.0
400009;02-01-2023 11:00:00;8.7
400009;02-01-2023 12:00:00;11.2
400009;02-01-2023 13:00:00;13.5
400009;02-01-2023 14:00:00;14.3
400009;02-01-2023 15:00:00;15.6
400009;02-01-2023 16:00:00;14.9
400009;02-01-2023 17:00:00;16.8
400009;02-01-2023 18:00:00;17.5
400009;02-01-2023 19:00:00;17.2
400009;02-01-2023 20:00:00;16.5
400009;02-01-2023 21:00:00;17.2
400009;02-01-2023 22:00:00;16.4
400009;02-01-2023 23:00:00;14.9
400009;03-01-2023 00:00:00;14.5
400009;03-01-2023 01:00:00;14.1
400009;03-01-2023 02:00:00;13.4
400009;03-01-2023 03:00:00;12.6
400009;03-01-2023 04:00:00;12.6
400009;03-01-2023 05:00:00;12.7
400009;03-01-2023 06:00:00;12.6
400009;03-01-2023 07:00:00;12.1
400009;03-01-2023 08:00:00;12.1
400009;03-01-2023 09:00:00;11.4
400009;03-01-2023 10:00:00;11.8
400009;03-01-2023 11:00:00;12.2
400009;03-01-2023 12:00:00;13.2
400009;03-01-2023 13:00:00;15.1
400009;03-01-2023 14:00:00;16.1
400009;03-01-2023 15:00:00;15.8
400009;03-01-2023 16:00:00;17.1
400009;03-01-2023 17:00:00;18.6
400009;03-01-2023 18:00:00;19.3
400009;03-01-2023 19:00:00;20.3
