CodigoNacional;momento,HR_Valor
430002;01-01-2023 00:00:00;40.0
430002;01-01-2023 01:00:00;39.0
430002;01-01-2023 02:00:00;45.0
430002;01-01-2023 03:00:00;77.0
430002;01-01-2023 04:00:00;82.0
430002;01-01-2023 05:00:00;73.0
430002;01-01-2023 06:00:00;81.0
430002;01-01-2023 07:00:00;88.0
430002;01-01-2023 08:00:00;78.0
430002;01-01-2023 09:00:00;82.0
430002;01-01-2023 10:00:00;69.0
430002;01-01-2023 11:00:00;60.0
430002;01-01-2023 12:00:00;55.0
430002;01-01-2023 13:00:00;59.0
430002;01-01-2023 14:00:00;53.0
430002;01-01-2023 15:00:00;54.0
430002;01-01-2023 16:00:00;48.0
430002;01-01-2023 17:00:00;46.0
430002;01-01-2023 18:00:00;45.0
430002;01-01-2023 19:00:00;42.0
430002;01-01-2023 20:00:00;44.0
430002;01-01-2023 21:00:00;43.0
430002;01-01-2023 22:00:00;45.0
430002;01-01-2023 23:00:00;49.0
430002;02-01-2023 00:00:00;51.0
430002;02-01-2023 01:00:00;56.0
430002;02-01-2023 02:00:00;58.0
430002;02-01-2023 03:00:00;58.0
430002;02-01-2023 04:00:00;57.0
430002;02-01-2023 05:00:00;57.0
430002;02-01-2023 06:00:00;59.0
430002;02-01-2023 07:00:00;56.0
430002;02-01-2023 08:00:00;56.0
430002;02-01-2023 09:00:00;58.0
430002;02-01-2023 10:00:00;59.0
430002;02-01-2023 11:00:00;66.0
430002;02-01-2023 12:00:00;66.0
430002;02-01-2023 13:00:00;62.0
430002;02-01-2023 14:00:00;66.0
430002;02-01-2023 15:00:00;58.0
430002;02-01-2023 16:00:00;59.0
430002;02-01-2023 17:00:00;57.0
430002;02-01-2023 18:00:00;56.0
430002;02-01-2023 19:00:00;57.0
430002;02-01-2023 20:00:00;63.0
430002;02-01-2023 21:00:00;59.0
430002;02-01-2023 22:00:00;58.0
430002;02-01-2023 23:00:00;60.0
430002;03-01-2023 00:00:00;58.0
430002;03-01-2023 01:00:00;64.0
430002;03-01-2023 02:00:00;65.0
430002;03-01-2023 03:00:00;62.0
430002;03-01-2023 04:00:00;56.0
430002;03-01-2023 05:00:00;57.0
430002;03-01-2023 06:00:00;58.0
430002;03-01-2023 07:00:00;61.0
430002;03-01-2023 08:00:00;58.0
430002;03-01-2023 09:00:00;61.0
